소속 ,국회 ,직위 ,국회의원 ,성명 ,경대수 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"155,125",110,0,"155,235",,,
,,,,,,,
본인 ,전 ,경기도 안양시 만안구 안양동 466-25번지 19.00m² 중 9.50m² ,"5,125",110,0,"5,235",가액변동 
,,,,,,,
배우자 ,임야 ,"경기도 양평군 양서면 복포리 산 39-1번지 20,760.00m² 중 4,958.60m² ","150,000",0,0,"150,000",변동없음 
,,,,,,,
▶ 건물(소계) ,"1,630,000","348,000",0,"1,978,000",,,
,,,,,,,
본인 ,아파트 ,서울특별시 강남구 압구정동 구현대아파트 건물 117.91m² ,"1,520,000","248,000",0,"1,768,000",가액변동 
,,,,,,,
본인 ,아파트 전세(임차)권 ,충청북도 음성군 금왕읍 무극리 유수장미아파트 건물 59.34m² ,"10,000",0,0,"10,000",변동없음 
,,,,,,,
배우자 ,아파트 전세(임차)권 ,서울특별시 강남구 압구정동 신현대아파트 건물 183.41m² ,"100,000","100,000",0,"200,000",보증금 증가 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"18,244",0,"1,870","16,374",,,
,,,,,,,
본인 ,자동차 ,"2012년식 YF쏘나타 2.0(하이브리드) 배기량(1,999cc) ","14,800",0,"1,870","12,930",가액변동 
,,,,,,,
본인 ,자동차 ,"2016년식 제네시스 배기량(3,778cc) ","3,444",- ,- ,"3,444",변동없음 
,,,,,,,
▶ 예금(소계) ,"611,921","41,197","39,568","613,550",,,
,,,,,,,
본인 ,,"신한은행 7,824(2,193 감소), 삼성생명보험 15,400(1,400 증가), 농협은행 8,592(7,402 증가), (주)KEB하나은행 109,675(931 감소), 국민은행 11,383(344 증가), 케이디비생명보험 0(30,000 감소), 스탠다드차타드은행 3 ","176,855","10,952","34,930","152,877",급여저축및생활비지출등 
,,,,,,,
배우자 ,,"(주)KEB하나은행 271(220 증가), DB손해보험(주) 345(143 증가), 스탠다드차타드은행 4,211(171 증가), 국민은행 10, 삼성화재해상보험 66,712(11,759 증가), 현대해상화재보험 0(1,301 감소), 신한은행 8, 삼성생명보험 275,223(2,265 증가), (주)KB손해보험 4,750(600 증가), 증평 0(63 감소), AIA생명보험 1,331(571 증가), 한화손해보험 2,767(1,818 증가), 우리은행 4,992(2,461 증가), 한화생명보험 65,253(4,801 증가), 신한금융투자(주) 208(1 증가), 라이나생명보험 8,716(1,698 감소) ","413,049","26,386","4,638","434,797",
,,,,,,,
,,,,,,,
장남 ,,"신한은행 32, KB증권 766(1 증가), 삼성생명보험 23,520(2,730 증가), (주)KEB하나은행 1,520(1,100 증가), 국민은행 38(28 증가) ","22,017","3,859",0,"25,876",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"150,430",0,"9,290","141,140",,,
,,,,,,,
본인 ,,"농협은행 141,140(9,290 감소) ","150,430",0,"9,290","141,140",정치자금 지출 등 
,,,,,,,
▶ 채무(소계) ,"1,840,620","837,856","636,580","2,041,896",,,
,,,,,,,
본인 ,금융기관채무 ,"농협은행 895,136(1,826 증가), (주)KEB하나은행 90,000 ","983,310","1,826",0,"985,136",대출금 증가 
,,,,,,,
본인 ,건물임대채무 ,서울특별시 강남구 압구정동 구현대아파트 임대보증금 증가 ,"620,000","830,000","620,000","830,000",신규 보증금 
,,,,,,,
배우자 ,금융기관채무 ,"스탠다드차타드은행 10,441(6,466 감소), 삼성생명보험 175,930(2,150 감소), 씨티은행 15,779(3,544 감소), 한화생명보험 24,610(1,610 증가) ","237,310","6,030","16,580","226,760",생활비마련등을위한대출 
,,,,,,,
▶ 고지거부 및 등록제외사항(소계) ,"26,148",0,"26,148",0,,,
,,,,,,,
차녀 ,,고지거부 ,"26,148",0,"26,148",0,독립생계유지 
,,,,,,,
총계 ,"751,248","-448,549","-559,704","862,403","증 감 액 : 111,155천원 (가액변동: 246,240천원) ",,
,,,,,,,
