소속 ,국회 ,직위 ,국회의원 ,성명 ,강병원 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지 면적 등 권리의 명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 건물(소계) ,"410,000","30,000",0,"440,000",,,
,,,,,,,
본인 ,사무실 전세(임차)권 ,서울특별시 은평구 불광동 메트로타워 건물 99.60m² (건물 99.60m² 증가) ,- ,"30,000",0,"30,000",지역사무실 임대보증금 
,,,,,,,
배우자 ,아파트 전세(임차)권 ,서울특별시 은평구 진관동 제각말 푸르지오 건물 84.89m² ,"410,000",0,0,"410,000",변동없음 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차 건설기계 선박 및 항공기(소계) ,"50,580","3,940",0,"54,520",,,
,,,,,,,
본인 ,자동차 ,"2016년식 카니발 리무진 배기량(2,199cc) ","15,805","1,535",0,"17,340",가액변동 
,,,,,,,
본인 ,자동차 ,"2015년식 싼타페 배기량(1,995cc) ","9,485",435,0,"9,920",가액변동 
,,,,,,,
배우자 ,자동차 ,"2016년식 카니발 리무진 배기량(2,199cc) ","15,805","1,535",0,"17,340",가액변동 
,,,,,,,
배우자 ,자동차 ,"2015년식 싼타페 배기량(1,995cc) ","9,485",435,0,"9,920",가액변동 
,,,,,,,
▶ 예금(소계) ,"113,793","14,084","34,671","93,206",,,
,,,,,,,
본인 ,,"우리은행 0(11,209 감소), 삼성생명보험 13,851(875 증가), KB증권 0(608 감소), 농협은행 20,036(7,529 감소), AIA생명보험주식회사 8,820(668 증가), 한국투자증권 9(9 증가), 삼성화재해상보험 1,600(600 증가) ","61,510","5,273","22,467","44,316",급여 저축 및 생활비 지출 등 
,,,,,,,
배우자 ,,"에이비엘생명보험 21,885(1,509 증가), 국민은행 1,610(13 증가), 신한은행 14,120(8,765 감소), 신한생명보험 7,400(2,400 증가) ","49,858","7,361","12,204","45,015",
,,,,,,,
장녀 ,,"한국투자증권 1, 신한은행 3,874(1,450 증가) ","2,425","1,450",0,"3,875",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"71,999","113,368","1,919","183,448",,,
,,,,,,,
본인 ,,"농협은행 183,448(111,449 증가) ","71,999","113,368","1,919","183,448",후원금 증가 
,,,,,,,
▶ 채권(소계) ,"130,000",0,0,"130,000",,,
,,,,,,,
본인 ,,사인간채권 ,"130,000",0,0,"130,000",변동없음 
,,,,,,,
▶ 채무(소계) ,"31,611",0,"8,712","22,899",,,
,,,,,,,
본인 ,금융기관채무 ,"신한카드 22,899(8,712 감소) ","31,611",0,"8,712","22,899",자동차 할부금 일부 상환 
,,,,,,,
▶ 보석류(소계) ,"10,000",0,0,"10,000",,,
,,,,,,,
배우자 ,,"다이아몬드 (1캐럿, 화이트) ","10,000",- ,- ,"10,000",변동없음 
,,,,,,,
총계 ,"754,761","161,392","27,878","888,275","증 감 액 : 133,514천원 (가액변동: 3,940천원) ",,
,,,,,,,
