소속 ,국회 ,직위 ,국회의원 ,성명 ,권성동 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지 면적 등 권리의 명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"1,719",248,0,"1,967",,,
,,,,,,,
본인 ,임야 ,"강원도 강릉시 성산면 관음리 산 51-3번지 1,653.00m² ","1,719",248,0,"1,967",가액변동 
,,,,,,,
▶ 건물(소계) ,"1,369,250","134,000","134,750","1,368,500",,,
,,,,,,,
본인 ,아파트 ,서울특별시 강남구 개포동 현대아파트 65.92m² 건물 131.83m² 중 65.92m² ,"420,000","52,000",0,"472,000",가액변동 
,,,,,,,
본인 ,아파트 ,강원도 강릉시 교동 강릉교동롯데캐슬1단지 건물 135.17m² 중 67.59m² ,"109,000","15,000",0,"124,000",가액변동 
,,,,,,,
배우자 ,아파트 ,서울특별시 강남구 개포동 현대아파트 65.91m² 건물 131.83m² 중 65.91m² ,"420,000","52,000",0,"472,000",가액변동 
,,,,,,,
배우자 ,아파트 ,강원도 강릉시 교동 강릉교동롯데캐슬1단지 건물 135.17m² 중 67.59m² ,"109,000","15,000",0,"124,000",가액변동 
,,,,,,,
장남 ,아파트 ,서울특별시 강남구 개포동 경남아파트 건물 96.98m² 중 24.25m² ,"311,250",0,"134,750","176,500",가액변동 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차 건설기계 선박 및 항공기(소계) ,"24,885","14,990","5,515","34,360",,,
,,,,,,,
본인 ,자동차 ,"2014년식 스포티지R디젤 배기량(1,995cc) ","13,035",0,"2,411","10,624",가액변동 
,,,,,,,
본인 ,자동차 ,"2010년식 제네시스 배기량(3,842cc) ","11,850",0,"3,104","8,746",가액변동 
,,,,,,,
본인 ,자동차 ,"2015년식 쏘나타하이브리드(LF) 배기량(1,999cc) 증가 ",0,"14,990",0,"14,990",신규구입(의정활동) 
,,,,"-21,900",,,
,,,,,,,
▶ 예금(소계) ,"1,847,555","551,734","807,286","1,592,003",,,
,,,,,,,
본인 ,,"삼성생명보험 88,560, 신한은행 113,737(81 증가), 우리은행 7,453(98,319 감소), 흥국생명보험 40,844(6,051 증가), 강릉신협 1,001, 농협은행 126,332(148,170 감소), 국민은행 15,133(259 증가), 한화생명보험주식회사 78,300(16,200 증가), 에이비엘생명보험 200,000, ING(네덜란드)생명보험 246,962(4,267 증가) ","1,137,953","192,813","412,444","918,322","급여소득, 예금이자, 생활비, 증여 "
,,,,,,,
배우자 ,,"(주)KEB하나은행 339,075(5,518 증가), 흥국생명보험 60,000, 강릉교동 14,524(2,843 감소), 새마을금고중앙회 ","632,168","357,007","321,731","667,444",
,,,,,,,
,,"공제사업부 10,000, 중부 25,716(1 증가), 삼성화재해상보험 4,431(1,821 증가), 삼성생명보험 49,428(1,257 증가), 신한은행 34,020, NH투자증권 17,181(137 증가), 농협은행 1,898(2 증가), DB생명보험(주) 17,550(2,354 증가), 농협손해보험 5,800(1,200 증가), 한화생명보험주식회사 65,800(22,400 증가), 교보생명보험 22,021(3,429 증가) ",,,,,
,,,,,,,
장남 ,,"신한은행 20, (주)KEB하나은행 6,217(71,197 감소) ","77,434","1,914","73,111","6,237",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"305,570","20,184",0,"325,754",,,
,,,,,,,
본인 ,,"농협은행 325,754(20,184 증가) ","305,570","20,184",0,"325,754",후원회 기부 및 정치자금 사용 
,,,,,,,
▶ 유가증권(소계) ,"14,018","2,985",0,"17,003",,,
,,,,,,,
본인 ,비상장주식 ,"온코리아닷컴 2,000주 ","1,000",0,0,"1,000",평가액변동 
,,,,,,,
배우자 ,상장주식 ,"대한항공 389주, 한진칼 155주 ","13,018","2,985",0,"16,003",
,,,,,,,
▶ 채권(소계) ,"10,000","487,500",0,"497,500",,,
,,,,,,,
본인 ,,사인간채권 ,"10,000",0,0,"10,000",변동없음 
,,,,,,,
장남 ,,사인간채권 증가 ,0,"487,500",0,"487,500",전세보증금 
,,,,,,,
▶ 채무(소계) ,"162,500","202,264","162,500","202,264",,,
,,,,,,,
장남 ,금융기관채무 ,"(주)KEB하나은행 202,264(202,264 증가) ",0,"202,264",0,"202,264",전세보증금상환위한 대출 
,,,,,,,
장남 ,건물임대채무 ,서울특별시 강남구 개포동 경남아파트 임대보증금 감소 ,"162,500",0,"162,500",0,전세보증금 상환 
,,,,,,,
▶ 회원권(소계) ,"112,100",800,0,"112,900",,,
,,,,,,,
본인 ,콘도미니엄 ,휘닉스아일랜드 ,"42,400",- ,- ,"42,400",변동없음 
,,,,,,,
본인 ,골프 ,스카이밸리컨트리클럽 증가 ,"69,700",800,0,"70,500",가액변동 
,,,,,,,
▶ 고지거부 및 등록제외사항(소계) ,0,0,0,0,,,
,,,,,,,
부 ,,고지거부 ,- ,- ,- ,- ,타인부양 
,,,,,,,
장녀 ,,고지거부 ,- ,- ,- ,- ,독립생계유지 
,,,,,,,
총계 ,"3,522,597","1,010,177","785,051","3,747,723","증 감 액 : 225,126천원 (가액변동: -2,232천원) ",,
,,,,,,,
