소속 ,국회 ,직위 ,국회의원 ,성명 ,곽상도 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지 면적 등 권리의 명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"66,490","11,920",0,"78,410",,,
,,,,,,,
본인 ,임야 ,"경상북도 고령군 성산면 고탄리 산 47-3번지 6,545.00m² 중 2,182.00m² ","1,946",237,0,"2,183",가액변동 
,,,,,,,
본인 ,임야 ,경상북도 고령군 성산면 고탄리 산 105-3번지 992.00m² 중 331.00m² ,436,27,0,463,가액변동 
,,,,,,,
배우자 ,대지 ,대구광역시 달성군 현풍면 대리 603-10번지 310.00m² ,"64,108","11,656",0,"75,764",가액변동 
,,,,,,,
▶ 건물(소계) ,"1,242,000","75,000","28,000","1,289,000",,,
,,,,,,,
본인 ,아파트 ,서울특별시 송파구 신천동 장미아파트 건물 141.00m² ,"728,000","56,000",0,"784,000",가액변동 
,,,,,,,
본인 ,사무실 전세(임차)권 ,대구광역시 남구 대명동 4층 건물 341.46m² ,"100,000",- ,- ,"100,000",변동없음 
,,,,,,,
배우자 ,단독주택 ,대구광역시 남구 대명동 대지 355.70m² 건물 341.00m² ,"270,000","19,000",0,"289,000",가액변동 
,,,,,,,
배우자 ,아파트 ,대구광역시 달성군 화원읍 명곡리 명곡미래빌 3단지 건물 59.39m² ,"144,000",0,"28,000","116,000",가액변동 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차 건설기계 선박 및 항공기(소계) ,"61,970",0,"8,410","53,560",,,
,,,,,,,
본인 ,자동차 ,"2011년식 그랜저(GRANDEUR) 배기량(2,999cc) ","21,120",0,"2,000","19,120",가액변동 
,,,,,,,
본인 ,자동차 ,"2009년식 LS460 AWD 배기량(2,801cc) ","40,850",0,"6,410","34,440",가액변동 
,,,,,,,
▶ 현금(소계) ,0,"15,000",0,"15,000",,,
,,,,,,,
배우자 ,,현금 증가 ,- ,"15,000",0,"15,000",예금 인출 
,,,,,,,
▶ 예금(소계) ,"1,974,435","1,654,818","1,647,811","1,981,442",,,
,,,,,,,
본인 ,,"신한은행 1,126,750(29,828 감소), 중소기업은행 31, 삼성생명보험 46,368, 농협은행 6,862(6,862 증가), 국민은행 0(6,905 감소), 삼성화재해상보험 31,188(3,564 증가) ","1,237,506","1,109,198","1,135,505","1,211,199",급료 
,,,,,,,
배우자 ,,"(주)KEB하나은행 2,500, 스탠다드차타드은행 981(177 증가), 삼성화재해상보험 247,558(30,468 증가), 신한은행 263,252(1,564 감소), 삼성증권 1,901(1,117 증가), 중소기업은행 550(504 증가), 우리은행 253,501(2,612 증가) ","736,929","545,620","512,306","770,243",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"44,996","54,844",29,"99,811",,,
,,,,,,,
본인 ,,"신한은행 5(22 감소), 농협은행 99,806(54,837 증가) ","44,996","54,844",29,"99,811",정치자금 
,,,,,,,
▶ 채무(소계) ,"110,000",0,0,"110,000",,,
,,,,,,,
배우자 ,건물임대채무 ,대구광역시 달성군 화원읍 명곡리 명곡미래빌 3단지 임대보증금 ,"110,000",0,0,"110,000",변동없음 
,,,,,,,
▶ 고지거부 및 등록제외사항(소계) ,"110,843",0,"110,843",0,,,
,,,,,,,
장남 ,,고지거부 ,"110,843",0,"110,843",0,독립생계유지 
,,,,,,,
장녀 ,,고지거부 ,- ,- ,- ,- ,독립생계유지 
,,,,,,,
총계 ,"3,390,734","1,811,582","1,795,093","3,407,223","증 감 액 : 16,489천원 (가액변동: 50,510천원) ",,
,,,,,,,
