소속 ,국회 ,직위 ,국회의원 ,성명 ,강석호 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지 면적 등 권리의 명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"1,458,289","262,762","7,814","1,713,237",,,
,,,,,,,
본인 ,대지 ,경상북도 포항시 북구 신흥동 823-6번지 138.00m² ,"135,930",0,"6,900","129,030",가액변동 
,,,,,,,
본인 ,대지 ,경상북도 포항시 북구 신흥동 823-12번지 155.00m² ,"97,433",0,914,"96,519",가액변동 
,,,,,,,
본인 ,임야 ,"경상북도 포항시 남구 장기면 창지리 산 73-1번지 6,926.00m² ","5,402",215,0,"5,617",가액변동 
,,,,,,,
본인 ,임야 ,"경상북도 영덕군 영덕읍 우곡리 산 27-1번지 53,254.00m² 중 26,627.00m² ","25,562","9,053",0,"34,615",가액변동 
,,,,,,,
본인 ,임야 ,"제주특별자치도 서귀포시 표선면 표선리 72-5번지 6,744.00m² 중 2,248.00m² ","53,727","8,543",0,"62,270",가액변동 
,,,,,,,
본인 ,임야 ,제주특별자치도 서귀포시 표선면 표선리 72-6번지 479.00m² 중 159.60m² ,"3,671",576,0,"4,247",가액변동 
,,,,,,,
본인 ,전 ,"경상북도 포항시 남구 장기면 창지리 432번지 2,116.00m² ","8,527",360,0,"8,887",가액변동 
,,,,,,,
본인 ,전 ,제주특별자치도 서귀포시 표선면 표선리 72-4번지 205.00m² 중 68.30m² ,"5,737","1,916",0,"7,653",가액변동 
,,,,,,,
본인 ,전 ,제주특별자치도 서귀포시 표선면 표선리 72-11번지 212.00m² 중 70.60m² ,"1,765",284,0,"2,049",가액변동 
,,,,,,,
본인 ,하천 ,"경상북도 포항시 남구 오천읍 구정리 311-8번지 1,464.00m² ","205,546","6,148",0,"211,694",가액변동 
,,,,,,,
본인 ,하천 ,경상북도 포항시 남구 오천읍 구정리 311-35번지 42.00m² ,"6,678",202,0,"6,880",가액변동 
,,,,,,,
본인 ,하천 ,경상북도 포항시 남구 오천읍 구정리 525-1번지 88.00m² ,"15,374",457,0,"15,831",가액변동 
,,,,,,,
본인 ,하천 ,"경상북도 포항시 북구 흥해읍 용전리 314번지 1,507.00m² ","53,499","8,439",0,"61,938",가액변동 
,,,,,,,
본인 ,하천 ,"경상북도 포항시 북구 흥해읍 용전리 315번지 9,453.00m² ","531,259","73,733",0,"604,992",가액변동 
,,,,,,,
본인 ,하천 ,경상북도 포항시 북구 흥해읍 용전리 315-1번지 226.00m² ,"12,701","1,763",0,"14,464",가액변동 
,,,,,,,
본인 ,도로 ,경상북도 포항시 북구 흥해읍 용전리 215-4번지 300.00m² ,"10,980","2,160",0,"13,140",가액변동 
,,,,,,,
본인 ,하천 ,경상북도 포항시 남구 오천읍 구정리 525번지 671.00m² ,"112,728","3,355",0,"116,083",가액변동 
,,,,,,,
본인 ,답 ,대구광역시 서구 비산동 840-36번지 79.00m² ,"39,721","8,224",0,"47,945",가액변동 
,,,,,,,
본인 ,묘지 ,"경상북도 포항시 남구 호미곶면 강사리 589-1번지 2,413.00m² ","129,096","2,171",0,"131,267",가액변동 
,,,,,,,
본인 ,하천 ,경상북도 포항시 남구 오천읍 구정리 534-3번지 208.00m² 중 25.50m² ,"2,953",163,0,"3,116",가액변동 
,,,,,,,
배우자 ,전 ,"경상북도 영양군 일월면 곡강리 292-3번지 9,567.00m² (9,567.00m² 증가) ",- ,"135,000",0,"135,000",건물멸실로 인하여 토지 항목에 신고 
,,,,"-135,000",,,
,,,,,,,
▶ 건물(소계) ,"3,885,266","716,604","135,000","4,466,870",,,
,,,,,,,
본인 ,단독주택 ,경상북도 포항시 북구 신흥동 대지 367.00m² 건물 197.30m² ,"211,000","7,000",0,"218,000",가액변동 
,,,,,,,
본인 ,단독주택 ,경상북도 포항시 북구 신흥동 대지 188.00m² 건물 338.49m² ,"121,000","2,000",0,"123,000",가액변동 
,,,,,,,
본인 ,상가 ,대구광역시 서구 비산동 대지 779.00m² 건물 157.65m² ,"667,266","120,604",0,"787,870",가액변동 
,,,,,,,
본인 ,아파트 ,서울특별시 용산구 이촌동 엘지한강자이아파트 건물 202.32m² 중 101.16m² ,"1,100,000",0,0,"1,100,000",가액변동없음 
,,,,,,,
본인 ,사무실 전세(임차)권 ,경상북도 영양군 영양읍 서부리 건물 97.13m² ,"3,000",0,0,"3,000",변동없음 
,,,,,,,
본인 ,사무실 전세(임차)권 ,경상북도 영덕군 영덕읍 남석리 건물 301.25m² ,"40,000",0,0,"40,000",변동없음 
,,,,,,,
본인 ,사무실 전세(임차)권 ,경상북도 울진군 울진읍 읍내리 건물 99.17m² ,"40,000","40,000",0,"80,000",보증금 인상 
,,,,,,,
본인 ,아파트 ,경상북도 포항시 남구 연일읍 유강리 대림한숲타운 건물 214.85m² ,"188,000",0,0,"188,000",가액변동없음 
,,,,,,,
본인 ,다세대주택 전세(임차)권 ,경상북도 영덕군 영덕읍 남석리 건물 75.89m² ,"20,000",0,0,"20,000",변동없음 
,,,,,,,
본인 ,상가 ,경상북도 포항시 북구 신흥동 대지 185.00m² 건물 75.86m² ,"140,000",0,0,"140,000",가액변동없음 
,,,,,,,
본인 ,사무실 전세(임차)권 ,경상북도 봉화군 봉화읍 내성리 건물 177.16m² ,"120,000",0,0,"120,000",변동없음 
,,,,,,,
본인 ,오피스텔 ,서울특별시 마포구 도화동 마포트라팰리스 건물 76.81m² (건물 76.81m² 증가) ,- ,"547,000",0,"547,000",신규 매입 
,,,,"-547,000",,,
,,,,,,,
배우자 ,기타 ,"경상북도 영양군 일월면 곡강리 대지 0.00m² 건물 0.00m² (대지 9,567.00m² 감소, 건물 48.39m² 감소) ","135,000",0,"135,000",0,건물멸실(토지 항목에 신고) 
,,,,,,,
배우자 ,아파트 ,서울특별시 용산구 이촌동 엘지한강자이아파트 건물 202.32m² 중 101.16m² ,"1,100,000",0,0,"1,100,000",가액변동없음 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차 건설기계 선박 및 항공기(소계) ,"10,892",0,0,"10,892",,,
,,,,,,,
본인 ,자동차 ,"2015년식 에쿠스 배기량(3,778cc) ","10,892",- ,- ,"10,892",변동없음 
,,,,,,,
▶ 예금(소계) ,"7,023,605","1,341,383","2,333,837","6,031,151",,,
,,,,,,,
본인 ,,"상호저축은행중앙회 0(9 감소), 신한은행 4,541,076(1,091,707 감소), 우리은행 92(700,000 감소), KB증권 477(663 감소), 농협은행 35,719(11,423 증가), 씨티은행 245, 포항중앙 355(3 증가), 국민은행 0(2 감소), (주)KEB하나은행 762,286(740,825 증가), 영일 106, 유진투자증권 0(4 감소), ING(네덜란드)생명보험 375,655 ","6,756,145","1,254,517","2,294,651","5,716,011",생활비 지출 및 오피스텔 매입 등 
,,,,,,,
배우자 ,,"포항중앙 294(2 증가), 흥국생명보험 44,500(6,000 증가), 미래에셋대우(주) 127, 국민은행 21,158(6,319 증가), 삼성생명보험 109,167, 씨티은행 996, 우리은행 80,552(29,160 증가), 한화생명보험주식회사 20,611(2,269 증가), 신한생명보험 37,735(3,930 증가) ","267,460","86,866","39,186","315,140",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"225,985","139,172","10,004","355,153",,,
,,,,,,,
본인 ,,"농협은행 0(10,004 감소), 농협중앙회 355,153(139,172 증가) ","225,985","139,172","10,004","355,153",후원금 증가 
,,,,,,,
▶ 유가증권(소계) ,"1,376,924","2,831,935",0,"4,208,859",,,
,,,,,,,
본인 ,상장주식 ,삼성증권 478주(58주 증가) ,"13,314","4,180",0,"17,494",신규매입 및 평가액변동 
,,,,,,,
본인 ,비상장주식 ,"스톨베르그&삼일 136,361주, 한국프로스퍼 565,551주(565,551주 증가) ","1,363,610","2,827,755",0,"4,191,365",
,,,,,,,
▶ 채무(소계) ,"158,434",0,"33,566","124,868",,,
,,,,,,,
본인 ,금융기관채무 ,"현대캐피탈 4,868(33,566 감소) ","38,434",0,"33,566","4,868",리스료상환 
,,,,,,,
본인 ,건물임대채무 ,대구광역시 서구 비산동 임대보증금 ,"120,000",0,0,"120,000",변동없음 
,,,,,,,
▶ 회원권(소계) ,"81,950","14,000",0,"95,950",,,
,,,,,,,
본인 ,콘도미니엄 ,(주)명성콘도미니움 ,"5,950",- ,- ,"5,950",변동없음 
,,,,,,,
배우자 ,골프 ,경주 신라 컨트리클럽 증가 ,"76,000","14,000",0,"90,000",가액변동 
,,,,,,,
▶ 고지거부 및 등록제외사항(소계) ,0,0,0,0,,,
,,,,,,,
모 ,,고지거부 ,- ,- ,- ,- ,독립생계유지 
,,,,,,,
장남 ,,고지거부 ,- ,- ,- ,- ,독립생계유지 
,,,,,,,
총계 ,"13,904,477","5,305,856","2,453,089","16,757,244","증 감 액 : 2,852,767천원 (가액변동: 263,552천원) ",,
,,,,,,,
