소속 ,국회 ,직위 ,국회의원 ,성명 ,권은희 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지 면적 등 권리의 명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 건물(소계) ,"1,982,211","708,698","323,368","2,367,541",,,
,,,,,,,
본인 ,아파트 전세(임차)권 ,광주광역시 광산구 월계동 첨단라인1차아파트 건물 59.40m² ,"10,000",0,0,"10,000",변동없음 
,,,,,,,
배우자 ,상가 ,경기도 화성시 반송동 풍성위버폴리스 건물 0.00m² (건물 0.00m² 감소) ,0,0,0,0,소재지오기 정정 
,,,,,,,
배우자 ,상가 ,"[소재지 오기정정]경기도 화성시 반송동 풍성위버폴리스 대지 5,560.00m² 중 7.18m² 건물 35.15m² ","126,053","9,938",0,"135,991",가액변동 
,,,,,,,
배우자 ,상가 ,"[소재지 오기정정]경기도 화성시 반송동 풍성위버폴리스 대지 5,560.00m² 중 7.12m² 건물 34.90m² 중 34.88m² ","133,273","1,620",0,"134,893",가액변동 
,,,,,,,
배우자 ,상가 ,경기도 화성시 반송동 풍성 위버폴리스 건물 0.00m² 중 0.00m² (건물 지분면적 0.00m² 감소) ,0,0,0,0,소재지오기 정정 
,,,,,,,
배우자 ,상가 ,경기도 화성시 반송동 풍성위버폴리스 건물 0.00m² (건물 0.00m² 감소) ,0,0,0,0,소재지오기 정정 
,,,,,,,
배우자 ,상가 ,[소재지 오기정정]경기도 화성시 반송동 풍성위버폴리스 대지 20.69m² 건물 100.82m² ,"371,855","13,142",0,"384,997",가액변동 
,,,,,,,
배우자 ,아파트 전세(임차)권 ,서울특별시 용산구 문배동 용산KCC웰츠 건물 0.00m² (건물 82.50m² 감소) ,"300,000",0,"300,000",0,이사 
,,,,,,,
배우자 ,상가 ,충청북도 청주시 서원구 산남동 RS타워 대지 19.79m² 건물 182.40m² 중 91.20m² (대지 19.79m² 증가) ,"151,000",0,0,"151,000",가액변동없음 실거래가 
,,,,,,,
배우자 ,상가 ,충청북도 청주시 서원구 산남동 RS타워 대지 29.20m² 건물 269.10m² 중 138.50m² (대지 29.20m² 증가) ,"152,500","46,888",0,"199,388",가액변동 공시지가 
,,,,,,,
배우자 ,상가 ,충청북도 청주시 서원구 산남동 RS타워 대지 16.21m² 건물 149.43m² 중 78.70m² (대지 16.21m² 증가) ,"124,000",0,0,"124,000",가액변동없음 실거래가 
,,,,,,,
배우자 ,상가 ,충청북도 청주시 서원구 산남동 두꺼비빌딩 대지 28.17m² 건물 135.24m² ,"219,294",0,"8,353","210,941",가액변동 
,,,,,,,
배우자 ,상가 ,충청북도 청주시 서원구 산남동 두꺼비빌딩 대지 28.41m² 건물 135.24m² ,"221,114",0,"8,421","212,693",가액변동 
,,,,,,,
배우자 ,근린생활시설 ,충청북도 청주시 서원구 산남동 두꺼비빌딩 대지 22.24m² 건물 106.76m² ,"173,122",0,"6,594","166,528",가액변동 
,,,,,,,
배우자 ,숙박시설 ,"제주특별자치도 서귀포시 서귀동 오션팰리스 대지 2,715.00m² 중 13.16m² 건물 77.38m² (대지 지분면적 13.16m² 증가, 건물 77.38m² 증가) ",- ,"237,110",0,"237,110",매입 
,,,,"-237,110",,,
,,,,,,,
배우자 ,아파트 전세(임차)권 ,서울특별시 마포구 상수동 래미안밤섬리베뉴 1차 건물 84.99m² (건물 84.99m² 증가) ,- ,"400,000",0,"400,000",이사 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차 건설기계 선박 및 항공기(소계) ,"23,900",0,"1,600","22,300",,,
,,,,,,,
배우자 ,자동차 ,"2009년식 쏘렌토R 배기량(2,000cc) ","11,900",0,"1,600","10,300",감가상각 
,,,,,,,
배우자 ,자동차 ,"2010년식 BMW 배기량(1,995cc) ","12,000",- ,- ,"12,000",변동없음 
,,,,,,,
▶ 예금(소계) ,"70,055","69,363","44,854","94,564",,,
,,,,,,,
본인 ,,"신한은행 206(327 감소), 우리은행 148(3,697 감소), 중소기업은행 60, 농협은행 31,723(26,523 감소), (주)KEB하나은행 7,964(7,964 증가), 광주은행 111(2 증가) ","62,793","20,382","42,963","40,212",급여저축 
,,,,,,,
배우자 ,,"(주)KEB하나은행 51,987(48,971 증가), 세종부강신협 11, 우리은행 2,354(1,881 감소) ","7,262","48,981","1,891","54,352",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"38,939",0,"13,259","25,680",,,
,,,,,,,
본인 ,,"농협은행 25,680(13,259 감소) ","38,939",0,"13,259","25,680",정치자금지출 
,,,,,,,
▶ 유가증권(소계) ,"140,000",0,0,"140,000",,,
,,,,,,,
배우자 ,비상장주식 ,"스마트에듀 8,000주, 케이이비앤파트너스 20,000주 ","140,000",0,0,"140,000",변동없음 
,,,,,,,
▶ 채무(소계) ,"1,424,043","390,000","98,125","1,715,918",,,
,,,,,,,
본인 ,,사인간채무 ,"10,000",0,0,"10,000",
,,,,,,,
본인 ,금융기관채무 ,"우리은행 4,918(3,134 감소) ","8,052",0,"3,134","4,918",일부상환 
,,,,,,,
배우자 ,,사인간채무 ,"710,000",0,0,"710,000",변동없음 
,,,,,,,
배우자 ,금융기관채무 ,"(주)KEB하나은행 691,000(295,009 증가) ","395,991","320,000","24,991","691,000",전세자금대출 
,,,,,,,
배우자 ,건물임대채무 ,충청북도 청주시 서원구 산남동 두꺼비빌딩 3건 임대보증금 증가 ,0,"70,000",0,"70,000",임대차계약 
,,,,,,,
배우자 ,건물임대채무 ,충청북도 청주시 서원구 산남동 RS타워 3건 임대보증금 ,"50,000",0,0,"50,000",변동없음 
,,,,,,,
배우자 ,건물임대채무 ,경기도 화성시 반송동 풍성 위버폴리스 임대보증금 ,"25,000",0,0,"25,000",변동없음 
,,,,,,,
배우자 ,건물임대채무 ,충청북도 청주시 서원구 산남동 임대보증금 감소 ,"70,000",0,"70,000",0,임대차계약만료 
,,,,,,,
배우자 ,건물임대채무 ,경기도 화성시 반송동 풍성위버폴리스 2건 임대보증금 ,"155,000",0,0,"155,000",변동없음 
,,,,,,,
총계 ,"831,062","388,061","284,956","934,167","증 감 액 : 103,105천원 (가액변동: 46,620천원) ",,
,,,,,,,
